name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
POL RCM1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RCM2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RCM3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RCM4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RAH1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RAH2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RAH3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RAH4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RAH5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RAH6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RPH1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RPH2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RPH3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RPH4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RPH5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RPH6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RPH7	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RPH8	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RI1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL E	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RI2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RI3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RAH7	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RAH8	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RI4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RI5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RI6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RI7	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RI8	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RI9	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RI10	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RI11	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RI12	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RIFG1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RIFG2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RIFG3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RIFG4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL DC01	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL DC02	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL DC03	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL DC04	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RIFG5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
