name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
POL RAN1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RAN2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RAN3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RAN4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RCM1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RCM2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RCM3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RCM4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RFPT1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RFPT2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RFPT5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RFPT6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RFPT7	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RFPT8	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RFPT9	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RFPT10	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RSFG1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RSFG2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RSFG3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL E	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RSFG4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RSFG5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RFPT3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RFPT4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RSFG6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RMFG1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RMFG2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RMFG3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RMFG4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RMFG5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RMFG6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RAIF1	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RAIF2	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RAIF3	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RAIF4	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RAIF5	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL RAIF6	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL DC01	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL DC02	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL DC03	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL DC04	SEEG	µV	0.0	1000.0	StereoEEG	2000.0	good	n/a
POL SpO2	MISC	µV	0.0	1000.0	Miscellaneous	2000.0	good	n/a
POL EtCO2	MISC	µV	0.0	1000.0	Miscellaneous	2000.0	good	n/a
